"ID","consumer","stage","trait_name","Th","lnA0","Ea","Eh","r2_befdeact","r2_deact"
1,"pueraria lobata","leaf: 2 weeks past full extension","net photosynthesis rate",298.15,1.92536340418789,0.26068435674085,0.789337776926254,1,0.8773
2,"pueraria lobata","leaf: 2 weeks past full extension","net photosynthesis rate",298.15,2.34812773879849,0.0486373371206132,0.578927888160794,1,0.827
3,"pocillopora damicornis","coral","gross photosynthesis rate",301.71911,0.205787175311209,0.227408891991185,0.671449404694325,0.6903,0.9856
4,"pocillopora damicornis","coral","gross photosynthesis rate",301.72621,-1.23720843156227,0.756930400978654,0.155858555649211,0.934,1
5,"pocillopora damicornis","coral","respiration rate",304.676745,-1.55382553609329,0.628010706207748,29.1404090948279,0.9419,1
6,"pocillopora damicornis","coral","respiration rate",301.661435,-2.87887358086617,0.80512701308386,-0.151846604442501,0.8506,0.0999
7,"citrus limon","leaf","net photosynthesis rate",288.15,0.838920799153255,0.205772627201878,0.436377390456309,1,0.7417
8,"gossypium barbadense","leaf","net photosynthesis rate",306.15,2.94030094707515,0.0405245732973318,0.179099150168294,0.8943,0.9564
9,"gossypium barbadense","leaf","net photosynthesis rate",302.115866,0.513498901360463,1.15104578048563,0.244843641608518,1,0.5945
10,"gossypium barbadense","leaf","net photosynthesis rate",309.721587,3.34462365659158,0.190115269289352,0.407964057488901,0.9222,0.1638
11,"zostera marina","leaf","net photosynthesis rate",298.15,-1.10513356360934,0.53785663095686,0.264092687918413,0.8982,0.9744
12,"zostera marina","leaf","respiration rate",308.15,-3.13975206816688,0.63909973052816,2.55639892211264,0.8413,NA
13,"cenchrus ciliaris","youngest fully expanded leaf","net photosynthesis rate",312.883654,3.71599263620879,0.269898396512765,0.434669867894584,0.96,0.9213
14,"cenchrus ciliaris","youngest fully expanded leaf","respiration rate",322.40355,0.586537449107902,0.532494485662509,2.12997794265004,0.9122,NA
15,"calopogonium mucunoides","youngest fully expanded leaf","net photosynthesis rate",301.157788,3.45622146894699,0.245156547246256,0.166800853316013,0.9732,0.6476
16,"calopogonium mucunoides","youngest fully expanded leaf","respiration rate",328.000643,1.62673281680772,0.402443681898504,1.60977472759402,0.9555,NA
17,"collema tenax",NA,"net photosynthesis rate",308.649855,0.75877169629458,0.328107899664731,1.58777858577351,0.8921,0.8467
18,"collema tenax",NA,"respiration rate",314.171404,-0.878951597914211,0.462256942909894,1.84902777163958,0.959,NA
19,"psora cerebriformis",NA,"net photosynthesis rate",295.382136,0.968336978351239,0.291721147467683,0.445912590640393,0.8242,0.787
20,"psora cerebriformis",NA,"respiration rate",308.16736,-0.0887152139310324,0.501632572033461,2.00653028813384,0.9846,NA
