"ID","trait_name","trait_value","trait_unit","consumer","habitat","location","stage","temp"
1,"net photosynthesis rate",9.876141,"micromol m^-2 s^-1","pueraria lobata","terrestrial","maryland, usa","leaf: 2 weeks past full extension",20
1,"net photosynthesis rate",11.743801,"micromol m^-2 s^-1","pueraria lobata","terrestrial","maryland, usa","leaf: 2 weeks past full extension",25
1,"net photosynthesis rate",10.582731,"micromol m^-2 s^-1","pueraria lobata","terrestrial","maryland, usa","leaf: 2 weeks past full extension",30
1,"net photosynthesis rate",6.508309,"micromol m^-2 s^-1","pueraria lobata","terrestrial","maryland, usa","leaf: 2 weeks past full extension",35
1,"net photosynthesis rate",2.6644206,"micromol m^-2 s^-1","pueraria lobata","terrestrial","maryland, usa","leaf: 2 weeks past full extension",40
2,"net photosynthesis rate",11.203013,"micromol m^-2 s^-1","pueraria lobata","terrestrial","maryland, usa","leaf: 2 weeks past full extension",20
2,"net photosynthesis rate",11.570958,"micromol m^-2 s^-1","pueraria lobata","terrestrial","maryland, usa","leaf: 2 weeks past full extension",25
2,"net photosynthesis rate",10.986789,"micromol m^-2 s^-1","pueraria lobata","terrestrial","maryland, usa","leaf: 2 weeks past full extension",30
2,"net photosynthesis rate",8.152477,"micromol m^-2 s^-1","pueraria lobata","terrestrial","maryland, usa","leaf: 2 weeks past full extension",35
2,"net photosynthesis rate",3.818223,"micromol m^-2 s^-1","pueraria lobata","terrestrial","maryland, usa","leaf: 2 weeks past full extension",40
3,"gross photosynthesis rate",1.6387191,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",19.110678
3,"gross photosynthesis rate",1.6994753,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",19.081886
3,"gross photosynthesis rate",1.811358,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",21.594273
3,"gross photosynthesis rate",1.9566358,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",24.553116
3,"gross photosynthesis rate",1.9179629,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",24.553661
3,"gross photosynthesis rate",1.9792747,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",25.530449
3,"gross photosynthesis rate",1.7306635,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",25.53396
3,"gross photosynthesis rate",2.406358,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",28.56911
3,"gross photosynthesis rate",1.8997376,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",31.565092
3,"gross photosynthesis rate",1.8334414,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",31.566029
4,"gross photosynthesis rate",0.5994599,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","enewetak atoll, marshall islands","coral",18.008036
4,"gross photosynthesis rate",1.1262809,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","enewetak atoll, marshall islands","coral",21.576015
4,"gross photosynthesis rate",1.5870371,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","enewetak atoll, marshall islands","coral",25.563921
4,"gross photosynthesis rate",1.5538889,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","enewetak atoll, marshall islands","coral",25.56439
4,"gross photosynthesis rate",1.737855,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","enewetak atoll, marshall islands","coral",28.55062
4,"gross photosynthesis rate",1.9036111,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","enewetak atoll, marshall islands","coral",28.57621
4,"gross photosynthesis rate",1.7947686,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","enewetak atoll, marshall islands","coral",31.566574
5,"respiration rate",0.42534262,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",18.475464
5,"respiration rate",0.4537302,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",18.528875
5,"respiration rate",0.5859876,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",21.49727
5,"respiration rate",0.67818534,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",21.496439
5,"respiration rate",0.6934353,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",24.501667
5,"respiration rate",0.728896,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",24.501347
5,"respiration rate",0.6831651,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",25.539328
5,"respiration rate",0.79663914,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",25.538303
5,"respiration rate",1.0920284,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",28.541004
5,"respiration rate",1.123943,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",28.540716
5,"respiration rate",1.1214689,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",31.563993
5,"respiration rate",1.2845752,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",31.526745
6,"respiration rate",0.12040003,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","enewetak atoll, marshall islands","coral",18.531883
6,"respiration rate",0.14875586,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","enewetak atoll, marshall islands","coral",18.49585
6,"respiration rate",0.19948554,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","enewetak atoll, marshall islands","coral",21.554426
6,"respiration rate",0.28458476,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","enewetak atoll, marshall islands","coral",21.535769
6,"respiration rate",0.2966439,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","enewetak atoll, marshall islands","coral",25.542816
6,"respiration rate",0.3296179,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","enewetak atoll, marshall islands","coral",28.529995
6,"respiration rate",0.40407893,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","enewetak atoll, marshall islands","coral",28.511435
6,"respiration rate",0.3874397,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","enewetak atoll, marshall islands","coral",31.588507
7,"net photosynthesis rate",2.3138685,"micromol m^-2 s^-1","citrus limon","terrestrial","illinois, usa","leaf",10
7,"net photosynthesis rate",2.678832,"micromol m^-2 s^-1","citrus limon","terrestrial","illinois, usa","leaf",15
7,"net photosynthesis rate",2.5766423,"micromol m^-2 s^-1","citrus limon","terrestrial","illinois, usa","leaf",20
7,"net photosynthesis rate",2.240876,"micromol m^-2 s^-1","citrus limon","terrestrial","illinois, usa","leaf",25
7,"net photosynthesis rate",1.0583942,"micromol m^-2 s^-1","citrus limon","terrestrial","illinois, usa","leaf",30
8,"net photosynthesis rate",20.370394,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",24
8,"net photosynthesis rate",20.845682,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",27
8,"net photosynthesis rate",21.29334,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",30
8,"net photosynthesis rate",21.297493,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",33
8,"net photosynthesis rate",20.830511,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",36
8,"net photosynthesis rate",19.587458,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",39
8,"net photosynthesis rate",18.095148,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",42
8,"net photosynthesis rate",16.574955,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",45
9,"net photosynthesis rate",28.546692,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",28.108624
9,"net photosynthesis rate",32.377274,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",28.965866
9,"net photosynthesis rate",30.252504,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",32.89729
9,"net photosynthesis rate",29.781704,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",35.272137
9,"net photosynthesis rate",28.517775,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",36.569103
9,"net photosynthesis rate",28.525532,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",37.51873
9,"net photosynthesis rate",25.193962,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",37.739834
9,"net photosynthesis rate",24.019608,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",38.000687
9,"net photosynthesis rate",21.95902,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",37.78812
9,"net photosynthesis rate",26.772465,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",38.945965
9,"net photosynthesis rate",23.736423,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",39.339264
10,"net photosynthesis rate",43.840458,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",28.041237
10,"net photosynthesis rate",47.1812,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",28.942421
10,"net photosynthesis rate",52.212936,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",32.819344
10,"net photosynthesis rate",53.80131,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",35.234093
10,"net photosynthesis rate",54.204403,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",36.571587
10,"net photosynthesis rate",50.878826,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",37.526493
10,"net photosynthesis rate",49.99965,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",37.916374
10,"net photosynthesis rate",48.233532,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",37.74651
10,"net photosynthesis rate",53.831287,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",38.90311
10,"net photosynthesis rate",41.468826,"micromol m^-2 s^-1","gossypium barbadense","terrestrial","arizona, usa","leaf",37.757225
