"ID","consumer","trait_name","r2","intercept","AIC","AICc","BIC","habitat","location","stage"
1,"pueraria lobata","net photosynthesis rate",0.997596797997277,8.27508052,5.98041912891812,NA,4.02760869108862,"terrestrial","maryland, usa","leaf: 2 weeks past full extension"
2,"pueraria lobata","net photosynthesis rate",0.998602086298617,9.146292,2.0694796152201,Inf,0.116669177390603,"terrestrial","maryland, usa","leaf: 2 weeks past full extension"
3,"pocillopora damicornis","gross photosynthesis rate",0.616557020936903,1.88736263,-3.0502549988895,NA,-1.53732953391927,"marine","hawaii, usa","coral"
4,"pocillopora damicornis","gross photosynthesis rate",0.987259387489698,1.47184307142857,-12.6684390325115,NA,-12.9388882872349,"marine","enewetak atoll, marshall islands","coral"
5,"pocillopora damicornis","respiration rate",0.929106764614656,0.8056164,-19.0712213652017,NA,-16.6466881162617,"marine","hawaii, usa","coral"
6,"pocillopora damicornis","respiration rate",0.902574967558536,0.2713758275,-22.9412310170279,-285.732032518915,-22.5440233086288,"marine","enewetak atoll, marshall islands","coral"
7,"citrus limon","net photosynthesis rate",0.993923889952268,2.1737226,-6.76418576172631,NA,-8.71699619955581,"terrestrial","illinois, usa","leaf"
8,"gossypium barbadense","net photosynthesis rate",0.993378558620687,19.861872625,0.00316848574791351,NA,0.400376194147093,"terrestrial","arizona, usa","leaf"
9,"gossypium barbadense","net photosynthesis rate",0.658025898644423,27.2439053636364,53.8960815943385,-Inf,55.8855579583303,"terrestrial","arizona, usa","leaf"
10,"gossypium barbadense","net photosynthesis rate",0.380457201417109,48.8749223636364,69.1402019988406,-367.349101897742,71.1296783628324,"terrestrial","arizona, usa","leaf"
11,"zostera marina","net photosynthesis rate",0.941496943259676,0.55875,-9.97226408132628,NA,-9.5750563729271,"marine","great harbor, woods hole, massachusetts, usa","leaf"
12,"zostera marina","respiration rate",0.87450666693465,0.132875,-19.9032641337179,NA,-19.5060564253187,"marine","great harbor, woods hole, massachusetts, usa","leaf"
13,"cenchrus ciliaris","net photosynthesis rate",0.986164978247127,79.0162703571429,77.9704509778445,-460.140484601304,81.1657376259208,"terrestrial","queensland, australia","youngest fully expanded leaf"
14,"cenchrus ciliaris","respiration rate",0.95510946716584,10.06492202,46.1741808223155,NA,47.6871062872857,"terrestrial","queensland, australia","youngest fully expanded leaf"
15,"calopogonium mucunoides","net photosynthesis rate",0.974329362630844,47.8879281875,64.204844409709,-538.402972765845,68.0677880209079,"terrestrial","queensland, australia","youngest fully expanded leaf"
16,"calopogonium mucunoides","respiration rate",0.98169093645531,19.16398349,47.285193548735,-344.015085962618,48.7981190137052,"terrestrial","queensland, australia","youngest fully expanded leaf"
17,"collema tenax","net photosynthesis rate",0.928606234002614,3.38265428571429,17.1210817248302,-218.075579809504,16.8506324701067,"terrestrial","moab, utah, usa",NA
18,"collema tenax","respiration rate",0.988675037773847,1.32020065714286,-4.77985627292929,-233.240750240191,-5.05030552765272,"terrestrial","moab, utah, usa",NA
19,"psora cerebriformis","net photosynthesis rate",0.937043345921215,2.89607851428571,9.47741460616073,NA,9.20696535143729,"terrestrial","moab, utah, usa",NA
20,"psora cerebriformis","respiration rate",0.996554030221707,1.86293912,-8.62575974831616,-275.098944940675,-8.22855203991698,"terrestrial","moab, utah, usa",NA
21,"diploschistes diacapsis","net photosynthesis rate",0.961776776756761,1.78013695714286,-10.5571437613117,NA,-10.8275930160352,"terrestrial","moab, utah, usa",NA
22,"diploschistes diacapsis","respiration rate",0.998073954475634,1.58667880571429,-13.4143201910833,-243.61198202666,-13.6847694458067,"terrestrial","moab, utah, usa",NA
23,"deschampsia antarctica","net photosynthesis rate",0.979242524772734,13.6903352557143,26.467229783928,-Inf,26.1967805292045,"terrestrial","stepping stone islands, west coast of antarctic peninsula","leaf"
24,"larrea tridentata","net photosynthesis rate",0.998624153789873,21.5928365714286,7.45159315449946,-240.32195662194,7.18114389977603,"terrestrial","phoenix arizona","leaf"
25,"spinacia oleracea","gross photosynthesis rate",0.973300744745424,81.17913675,79.3687524599297,-Inf,81.7932857088697,"terrestrial","dusseldorf, germany","chloroplast"
26,"cladophora glomerata","gross photosynthesis rate",0.56768534359804,0.0259542985,-30.8974893928787,-194.982371853203,-31.9386920467384,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
28,"cladophora glomerata","respiration rate",0.816173983225106,0.05947931875,-39.1444793031347,-289.671844399697,-38.7472715947355,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
29,"cladophora glomerata","gross photosynthesis rate",0.770357333479339,0.0379305655,-45.7187289498669,-289.671844399697,-45.3215212414677,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
31,"cladophora glomerata","respiration rate",0.993026486522302,0.071480117875,-55.8612367021683,-293.880589166871,-55.4640289937691,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
32,"cladophora glomerata","gross photosynthesis rate",0.867815832223607,0.116355952875,-24.0786230361924,NA,-23.6814153277932,"freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
