"ID","consumer","trait_name","r2","intercept","AIC","BIC","habitat","location","stage"
1,"pueraria lobata","net photosynthesis rate",0.978113164375257,8.27508052,15.0258357644777,13.4635874142141,"terrestrial","maryland, usa","leaf: 2 weeks past full extension"
2,"pueraria lobata","net photosynthesis rate",0.997902067976648,9.146292,2.09933559975858,0.537087249494983,"terrestrial","maryland, usa","leaf: 2 weeks past full extension"
3,"pocillopora damicornis","gross photosynthesis rate",0.414071880722242,1.88736263,-0.810193053124859,0.400147318851324,"marine","hawaii, usa","coral"
4,"pocillopora damicornis","gross photosynthesis rate",0.98255899503426,1.47184307142857,-12.4702338325309,-12.6865932363096,"marine","enewetak atoll, marshall islands","coral"
5,"pocillopora damicornis","respiration rate",0.926295727313252,0.8056164,-20.6045923266502,-18.6649657274982,"marine","hawaii, usa","coral"
6,"pocillopora damicornis","respiration rate",0.900916113055328,0.2713758275,-24.8061618169965,-24.4883956502772,"marine","enewetak atoll, marshall islands","coral"
7,"citrus limon","net photosynthesis rate",0.985376868575426,2.1737226,-4.37298614836167,-5.93523449862527,"terrestrial","illinois, usa","leaf"
8,"gossypium barbadense","net photosynthesis rate",0.993326728318426,19.861872625,-1.93445415914899,-1.61668799242965,"terrestrial","arizona, usa","leaf"
9,"gossypium barbadense","net photosynthesis rate",0.621015271050357,27.2439053636364,53.0264515394065,54.6180326306,"terrestrial","arizona, usa","leaf"
10,"gossypium barbadense","net photosynthesis rate",0.38022808418595,48.8749223636364,67.1442692297742,68.7358503209677,"terrestrial","arizona, usa","leaf"
11,"zostera marina","net photosynthesis rate",0.8225886082176,0.55875,-3.09712585570181,-2.77935968898247,"marine","great harbor, woods hole, massachusetts, usa","leaf"
12,"zostera marina","respiration rate",0.865834911925447,0.132875,-21.3687168693832,-21.0509507026638,"marine","great harbor, woods hole, massachusetts, usa","leaf"
13,"cenchrus ciliaris","net photosynthesis rate",0.923852508444934,79.0162703571429,99.8470163116401,102.403245630101,"terrestrial","queensland, australia","youngest fully expanded leaf"
14,"cenchrus ciliaris","respiration rate",0.951658161397631,10.06492202,44.914885690889,46.1252260628652,"terrestrial","queensland, australia","youngest fully expanded leaf"
15,"calopogonium mucunoides","net photosynthesis rate",0.961232488592354,47.8879281875,68.8006002032986,71.8909550922577,"terrestrial","queensland, australia","youngest fully expanded leaf"
