"ID","trait_name","trait_value","trait_unit","consumer","habitat","location","stage","temp","lnB","tran_kT","tran_kTT"
1,"net photosynthesis rate",9.876141,"micromol m^-2 s^-1","pueraria lobata","terrestrial","maryland, usa","leaf: 2 weeks past full extension",293.15,2.29012184841625,-39.6193138608368,1.39923411127801
1,"net photosynthesis rate",11.743801,"micromol m^-2 s^-1","pueraria lobata","terrestrial","maryland, usa","leaf: 2 weeks past full extension",298.15,2.46332552690571,-38.9548947117367,2.06365326037808
1,"net photosynthesis rate",10.582731,"micromol m^-2 s^-1","pueraria lobata","terrestrial","maryland, usa","leaf: 2 weeks past full extension",303.15,2.35922352166514,-38.312392737273,2.70615523484182
1,"net photosynthesis rate",6.508309,"micromol m^-2 s^-1","pueraria lobata","terrestrial","maryland, usa","leaf: 2 weeks past full extension",308.15,1.87307966825424,-37.690741062159,3.32780690995577
1,"net photosynthesis rate",2.6644206,"micromol m^-2 s^-1","pueraria lobata","terrestrial","maryland, usa","leaf: 2 weeks past full extension",313.15,0.979986623098835,-37.088940949399,3.92960702271577
2,"net photosynthesis rate",11.203013,"micromol m^-2 s^-1","pueraria lobata","terrestrial","maryland, usa","leaf: 2 weeks past full extension",293.15,2.41618275997938,-39.6193138608368,1.39923411127801
2,"net photosynthesis rate",11.570958,"micromol m^-2 s^-1","pueraria lobata","terrestrial","maryland, usa","leaf: 2 weeks past full extension",298.15,2.44849833812355,-38.9548947117367,2.06365326037808
2,"net photosynthesis rate",10.986789,"micromol m^-2 s^-1","pueraria lobata","terrestrial","maryland, usa","leaf: 2 weeks past full extension",303.15,2.39669355101991,-38.312392737273,2.70615523484182
2,"net photosynthesis rate",8.152477,"micromol m^-2 s^-1","pueraria lobata","terrestrial","maryland, usa","leaf: 2 weeks past full extension",308.15,2.09832180745687,-37.690741062159,3.32780690995577
2,"net photosynthesis rate",3.818223,"micromol m^-2 s^-1","pueraria lobata","terrestrial","maryland, usa","leaf: 2 weeks past full extension",313.15,1.33978513114112,-37.088940949399,3.92960702271577
3,"gross photosynthesis rate",1.6387191,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",292.260678,0.493914900082759,-39.7398717397908,1.27867623232398
3,"gross photosynthesis rate",1.6994753,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",292.231886,0.53031955636204,-39.7437870907225,1.27476088139225
3,"gross photosynthesis rate",1.811358,"mg o2 (10 minutes^-1)","pocillopora damicornis","marine","hawaii, usa","coral",294.744273,0.594076840204309,-39.4050128271849,1.61353514492984
