"Type of Feeding" "Mean log(Predator Mass)" "Mean log(Prey Mass)" "Mean log(Ratio)"
"predacious/piscivorous" 6.06403752213459 2.41088614444964 -3.65315137768494
"piscivorous" 7.71223438647515 1.63552827510992 -6.07670611136523
"planktivorous" -2.8444155291803 -12.2973266641226 -9.45291113494234
"predacious" 4.77986971956941 -3.3992920045753 -8.1791617241447
"insectivorous" -0.19768531886863 -2.97649490953736 -2.77880959066873

"Type of Feeding" "Median log(Predator Mass)" "Median log(Prey Mass)" "Mean log(ratio)"
"predacious/piscivorous" -0.155625491649087 -0.155625491649087 -3.71028336277709
"piscivorous" -0.155625491649087 -0.155625491649087 -5.61677109766657
"planktivorous" -0.155625491649087 -0.155625491649087 -9.82552601106642
"predacious" -0.155625491649087 -0.155625491649087 -8.29090937545023
"insectivorous" -0.155625491649087 -0.155625491649087 -2.6155823718929
