"Species" "Distance.m" "Angle.degrees" "Tree.Height.m"
"Populus tremula" 31.6658337740228 41.2826361937914 112.720832599644
"Quercus robur" 45.984992608428 44.5359166583512 265.248898146276
"Ginkgo biloba" 31.2417666241527 25.1462585572153 31.5301962878031
"Fraxinus excelsior" 34.6166691975668 23.336126555223 31.174489772627
"Betula pendula" 45.4661654261872 38.3491299510933 118.619326570434
"Betula pendula" 48.7955017434433 33.5923089866992 86.1270149561506
"Populus tremula" 30.6472346419469 29.6680675458629 41.2703308903301
"Fagus sylvatica" 35.0619523832574 40.6805929599795 116.314679876443
"Quercus robur" 39.9362466670573 26.95891767391 45.1810941074139
"Quercus robur" 48.5709257051349 26.702855124604 54.0669655692519
"Carpinus betulus" 41.3144933478907 33.6508165684063 73.2361217609142
"Populus tremula" 47.1975362300873 28.0572507053148 57.2614025570509
"Populus tremula" 35.4810611810535 39.6383204893209 105.120081764365
"Ginkgo biloba" 34.8862405261025 38.9365267753601 96.2973282343145
"Betula pendula" 34.1105821775272 42.0246486656833 133.280325081225
"Alnus glutinosa" 49.654958024621 38.6693715688307 133.552894320105
"Ginkgo biloba" 40.5030490783975 31.3665648386814 61.1002843843091
"Carpinus betulus" 35.9443165874109 26.293636362534 38.9914424579755
"Metasequoia glyptostroboides" 41.7043626774102 26.5267517697066 45.9099492841663
"Ginkgo biloba" 37.3554195649922 43.1725008168723 171.478419477008
"Betula pendula" 43.4749639127403 36.2327829515561 94.1704833226897
"Fagus sylvatica" 39.8774524684995 38.6918964318465 107.487932919623
"Populus tremula" 31.2450212799013 23.340078931069 28.1451353998928
"Quercus robur" 35.9201506245881 42.8551055188291 157.330044527482
"Ginkgo biloba" 49.6307160519063 31.3478059414774 74.7739688484179
"Carpinus betulus" 38.2067809579894 43.2579337025527 177.678204186317
"Pinus sylvestris" 30.462764617987 35.7672338711563 63.5266836504372
"Pinus sylvestris" 44.3437174567953 42.6901407469995 189.689523356599
"Carpinus betulus" 42.391633852385 26.078630394768 45.3665620454221
